iter	Passed	Remaining
0	2	235
1	3	194
2	5	167
3	6	152
4	7	143
5	8	136
6	9	131
7	11	127
8	12	124
9	13	123
10	14	120
11	16	118
12	17	115
13	18	113
14	19	111
15	20	109
16	22	108
17	23	105
18	24	104
19	25	102
20	26	100
21	27	99
22	29	97
23	32	103
24	34	104
25	35	102
26	37	100
27	38	98
28	39	96
29	40	94
30	41	92
31	42	91
32	43	89
33	45	87
34	46	85
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	52	76
41	54	74
42	55	73
43	56	71
44	57	70
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	65	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	52
59	75	50
60	77	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	88	37
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
